Speaker,Sentences
[OTH],"Okay, okay, let's ditch school and go find him."
[OTH],"""You know he can't think on his own, Kyle!"" ""Brush and floss, Kyle!"" ""Where has that finger been, Kyle?"""
[OTH],Dude!
[OTH],"Is there a problem, boys?"
[OTH],"Yes, Mr. Garrison, I have to go now."
[OTH],"Oh, really, Kyle? What is it this time? Another prostate tumor?"
[OTH],"No, my little brother's been abducted by aliens. It's true! Ask Cartman, they gave him an anal probe."
Cartman,"Heh, heh, that's a, that's, that's a little joke. Heh, heh."
[OTH],"Mr. Garrison, seriously, I have to go. Can I please be excused from class?"
[OTH],"I don't know, Kyle. Did you ask Mr. Hat?"
[OTH],"I don't want to ask Mr. Hat, I'm asking you!"
[OTH],Oh I think you should ask Mr. Hat.
[OTH],"Mr. Hat, may I please be excused from class?"
[OTH],"Well, Kyle, NO!! You hear me?! You go to hell! You go to hell and you die!"
[OTH],"Hmm, guess you'll have to take your seat, Kyle."
[OTH],Damn it!
Cartman,"Hah, hah. Mr. Hat yelled at you."
Cartman,Ow! My ass!
[OTH],Dude!
[OTH],"Damn, Cartman!"
Cartman,Uh... Ow! My ass!
[OTH],"Dude, he's farting fire!"
[OTH],It's the alien anal probe. It's shooting fire from Cartman's rectum!
Cartman,"No, that was just a dream."
[OTH],"Eric, do you need to sit in the corner until your flaming gas is under control?"
Cartman,"No, Mr. Garrison, I'm fine."
[OTH],"Hey, you cows can't get on this train! This is a people train. You cows have no business on a people train, all right? 'Cause you're cows."
[OTH],"No, no, no. Don't try any of that cow hypnosis on me, all right? 'Cause it's not gonna work."
[OTH],"Hold it right there, cows!"
[OTH],Come back here! Now then!
[OTH],"So then I had bad, bad gas."
[OTH],"Ya, seriously, killer."
Cartman,"Oh!! Whoa, I sure am hungry."
[OTH],How can you eat when you're farting fire?
Cartman,"Shut up, dude, you're being totally immature."
[OTH],"Hey, look, there's Wendy Testaburger."
[OTH],Where?
Cartman,Stan wants to ki-iss Wendy Testabur-ger.
[OTH],"Shut up, fat ass! I don't even like her!"
Cartman,I'm not fat. And you obviously like her because you throw up every time she talks to you.
[OTH],I do not!
[OTH],"Hi, guys."
Cartman,"Hi, Wendy."
[OTH],"Here, Stan. This is for you."
[OTH],Bleech!
[OTH],Eww!
Cartman,"Bye, Wendy."
[OTH],"Dude, what does the note say?"
[OTH],Holy crap! It says she wants to meet me at Stark's Pond after school.
[OTH],Whoa! Maybe you can kiss her.
Cartman,Or slip her the tongue.
[OTH],"(Or look at the cat on her feet, then touch her.)"
[OTH],What? How do you know she has a cat?
[OTH],"Come on you guys, we need to figure out how to get out of school so we can get my little brother back."
[OTH],"Hello there, children."
[OTH],"Hey, Chef."
[OTH],How are you doing?
[OTH],Bad.
[OTH],Why bad?
[OTH],"Chef, have you ever had something happen to you, but nobody believed you?"
[OTH],"Oh, children, children, that's a problem we've all had to face at some time or another. Here, let me sing you a little song. It might clear things up.

I'm gonna make love to you woman
Gonna lay you down by the fire
And caress your womanly body
Make you moooooan and perspi-yah!
Gonna--"
[OTH],"Uh, Chef?"
[OTH],--get those juices flowin'--
[OTH],Chef.
[OTH],--we're makin' love gravy--
[OTH],Chef!
[OTH],"--love gravy, lovelovelovelovelove gravih!"
[OTH],CHEF!!!
[OTH],"Love luh--

 Huh?"
[OTH],Do you feel better?
[OTH],No!
[OTH],"Oh, come on children, what could be so bad? It's Salisbury steak day."
[OTH],Visitors took Kyle's baby brother.
[OTH],What?!
[OTH],"What the hell do you think you're doing in school eatin' Salisbury steak?! Go find him, damn it!"
[OTH],Mr. Garrison won't let us out of school. He thinks we're making it up.
Cartman,You are making it up.
[OTH],Whoa!
Cartman,What?
[OTH],That was cool!
[OTH],"It's uh some kind of symbiotic, metamorphosis device."
[OTH],This could mean the Visitors want to communicate with us.
Cartman,"Oh, I see. Now you're going to join in on the little joke huh?"
[OTH],"It's no joke, children, this is big!"
[OTH],"Please, Chef, if I don't get out of school and get my little brother back from the aliens, my parents are gonna disown me."
[OTH],"Uuh, hold on now, hold on now. Uhyouyouyou you gotta help the children."
Cartman,"Oh, you guys sure are going a long ways to try and scare me. I want my Salisbury steak!"
[OTH],"Fire drill! Fire drill! Everybody out! Okay children, this is your chance!"
[OTH],"Killer! Thanks, Chef."
[OTH],"Mahahahahan oh man, first contact with the alien Visitors. I've got to get myself ready."
[OTH],"We got out of school,
No more school today,
We got out of school..."
Cartman,"Oh!! You guys, my ass, seriously..!"
[OTH],"Okay, Cartman, you can stop farting fire now."
Cartman,"I would if I could, you son of a bitch!"
[OTH],"Okay, so how do we get my little brother back?"
Cartman,"Uh—Would you stop going on about your little brother? I know it was just a dream, I know I didn't have an anal probe, and I know that I'm not under alien control!"
Cartman,"I love to singa,
About the moon-a and the June-a and the springa,
I love to sing-a,
About a sky of blue-a or a tea for two-a..."
[OTH],What the hell was that?
[OTH],He is under alien control. That thing in his butt is linked up to the Visitors!
Cartman,"Ah, son of a bitch!"
Cartman,"You guys, shut up. I'm not under alien control."
[OTH],Hey!
Cartman,Uh...
[OTH],If you Visitors can hear me-
Cartman,Hey...
[OTH],"-bring me back my little brother, God damnit!"
Cartman,"Ow! That hurts, you buttlicker!"
[OTH],"Kyle, look! It's them."
[OTH],Give me back my brother!
[OTH],Oh my God! They've killed Kenny!
[OTH],You bastards! Come back here! Coomme baack!
[OTH],"Damn it, we were so close!"
[OTH],"Hey look, I think Kenny's okay."
[OTH],"(Don't worry, I'm alright. Argh!)"
[OTH],Owww.
[OTH],"(Nope, I'm all fine. Agh!)"
[OTH],"Wow, poor Kenny."
[OTH],"Now do you believe us, Cartman?"
Cartman,No!
[OTH],"Cartman, they killed Kenny!"
Cartman,He's not dead.
[OTH],"Dude, Kenny is dead!"
[OTH],See?
Cartman,"Shut up, you guys."
[OTH],"He's dead, Cartman!"
Cartman,"God damn it, I didn't have an anal probe! Screw you guys, I'm goin' home."
[OTH],"Go on and go home, you fat chicken!"
Cartman,Dildo!
[OTH],"You're all I have left, Stan."
[OTH],"Sorry, dude. I gotta go meet Wendy Testaburger."
[OTH],"You can't! Poor Ike must be so scared, up there all alone. You gotta help me, dude!"
[OTH],"Dude, like Chef says, I've gotta get a piece of lovin' while the gettin's hot."
[OTH],Rats.
Cartman,"Hello, Eric."
Cartman,"Hi, Mom."
[OTH],How are you doing?
Cartman,"Well, I'm pissed off!"
[OTH],"Here, I made you powdered donut pancake surprise."
Cartman,I don't want powdered donut pancake surprise. All the kids at school call me fat!
[OTH],"You're not fat, you're big boned."
Cartman,That's what I said.
[OTH],"You can have an eensy weensy bit, can't you?"
Cartman,No!
[OTH],Just a weensy eensy woo woo?
Cartman,"No, leave me alone mom!"
[OTH],"How about a nice chocolate chicken pot pie, then?"
Cartman,"What? Well, that does sound pretty good."
Cartman,"Uh, Mom?"
[OTH],"Yes, hon?"
Cartman,"If anybody calls or comes over, I'm not here, okay?"
[OTH],"Sure, hon. You want some Cheesy Poofs, too?"
Cartman,"Yeah, I want Cheesy Poofs."
[OTH],"Well, it looks like she's not going to show up, Stan. Let's go look for the Visitors now."
[OTH],But her note said she'd be here.
[OTH],"Hi, Stan."
[OTH],Bleech!
[OTH],Eww!
[OTH],"You can't talk to Stan, Wendy. He throws up when you do."
[OTH],"But why, Stan?"
[OTH],Bleech!
[OTH],Eww!
[OTH],"Look, can you guys just get down to business so we can go find my little brother?"
[OTH],Huh?
[OTH],Just make sweet love down by the fire.
[OTH],What happened to your little brother?
[OTH],"As the reports of UFO sightings increase, more mysterious crop circle patterns are appearing in fields all around South Park. These crop circles, when viewed from above, form strange patterns."
Cartman,"Hey, that kind of looks like... Tom Selleck."
[OTH],"Could it be that aliens are trying to make contact with us, here on Earth?"
[OTH],Meow.
Cartman,"No, Kitty, this is mah pot pie."
[OTH],Meow.
Cartman,"No, Kitty, you bad kitt--!"
[OTH],Meow.
Cartman,"No, Kitty, it's mah pot pie!"
Cartman,Mom! Kitty's being a dildo!
[OTH],"Well, then. I know a certain kitty-kitty who's sleeping with Mommy tonight!"
Cartman,What?
[OTH],...and now I have to go home without him and my parents are going to have me killed.
[OTH],"Well, why don't you go get the fat kid?"
[OTH],Why?
[OTH],"Well, if the fat kid has something implanted in his ass, maybe the Visitors are using him as part of their plan. You should use the fat kid as bait to bring them back."
[OTH],"Hey. You're right, Wendy. Come on, Stan, we have to go get Cartman."
[OTH],"Come on, Stan."
[OTH],Bleech!
[OTH],Eww!
[OTH],"Hey, wait. When do I get to make sweet love?"
[OTH],Meow.
Cartman,"No, Kitty, you can't have any!"
[OTH],Meow.
Cartman,"No, Kitty, this is mah pot pie! Bad Kitty--!"
Cartman,"Eh, 'scuse me, Kitty."
[OTH],"Eric, look who's here."
Cartman,"Dude, weak mom."
[OTH],"Come on Eric, we can go play at the bus stop."
Cartman,"I can't, my mom said..."
[OTH],"That's okay, Eric, I think you need to go spend time with your little friends."
Cartman,"But mom, I don't want to spend time with my little friends--"
[OTH],"Don't be difficult, Eric! Now, you go out and play in the fun snow."
Cartman,God damn it!
Cartman,"You guys, I have to get home."
[OTH],"Don't be such a fraidy-cat, Cartman. This rope will make sure they can't take you on board again."
Cartman,"Oh, man, this sucks."
[OTH],How come the Visitors aren't coming for him?
[OTH],I think we have to signal them somehow.
Cartman,Ow!
[OTH],"Hey, he's like Rudolph."
[OTH],"Yeah! All you have to do is fart some more, Cartman, and the Visitors are sure to come!"
Cartman,"Really? Uh, I don't think I have to fart anymore tonight."
[OTH],Sure you do!
[OTH],"Come on Cartman, fart!"
Cartman,I don't wanna.
[OTH],He can't hold it in forever.
[OTH],"Fart, damn you!"
Cartman,"Okay, that's does it! Now listen! Why is it that everything today has involved things either going in or coming out of my ass?!"
Cartman,I'm sick of it! It's completely immature.
[OTH],"Hey, it's happening again."
[OTH],"Whoa, look at that."
[OTH],"Now, do you believe us, Cartman?"
Cartman,You guys can't scare me! I know you're making it all up.
[OTH],"Cartman, there's a 80-foot satellite dish sticking out of your ass!"
Cartman,"Sure, you guys, what-ever."
[OTH],"Oh, boy. The aliens are going to make first contact. Hey, down here, we are ready for your wisdom! And you've only got 20 minutes before Sanford and Son is on."
Cartman,"You guys, I am seriously getting pissed off right now! I know there is no such things as aliens!"
Cartman,"Oh, God damn it!"
[OTH],"What the? I tell you, there's some crazy stuff going on in this town."
[OTH],"You can say that again, Mr. Garrison."
[OTH],"Come down here, you stinking aliens!"
[OTH],"Uh, uh..."
[OTH],"Go on, Kyle, ask 'em for your little brother back."
[OTH],"Vi, Visitors, this morning you took my brother, Ike. He's the little freckled kid that looks like a football. At first, I was happy you took him away. But I've learned something today. That having a little brother... i- is a pretty special thing."
[OTH],Yeah.
[OTH],"Ah, heck, Mr. Visitors, I'm just a kid all alone in this crazy world, but if you could find it in your hearts or whatever you have, to give my brother back to me, it sure would make my life brighter again."
[OTH],"That was beautiful, dude."
[OTH],Did it work?
[OTH],"No, they're leaving."
[OTH],"Hey, you scrawny-eyed shits, what the fuck is wrong with you?! You must be some kind of fucking asshole to be able to ignore a crying child!"
[OTH],"Whoa, dude!"
[OTH],You know what you fuckers like! You like to fuck! And shit! And fuck! And fuck! And fuck!
[OTH],"Hey Wendy, what's a fuck?"
[OTH],Help me doy tair.
[OTH],"Ike, jump down, now! For the love of God, Ike, jump!"
[OTH],Don't hurt me.
[OTH],"Moo... Moo...Moo moo, moo moo... (Greetings, cows of Earth. We come in peace.)"
[OTH],Moo?? (Really??)
[OTH],"Come on, Ike! I promise I'll be nice to you from now on!"
[OTH],Don't kick the baby.
[OTH],"Moo moo, moo. Moo moo, moo. Moo. (We have experimented with all the beings of Earth, and we have learned that you are the most intelligent and wise.)"
Cartman,What the hell are they talking about?
[OTH],Moo moo? (Why did you turn some of us inside out?)
[OTH],"Moo moo, moo. Moo. (Oh, that was Carl's fault. He's new.)"
[OTH],"Moo...moo...moo moo. (Yeah, sorry about that. My bad!)"
[OTH],Ike!
[OTH],Moo moo. Moo moo. Moo. (Take this device. It is a gift from us.)
[OTH],Ike! Do your impersonation of David Caruso's career!
[OTH],It's my turn!
[OTH],"Moo moo. Moo moo. (Farewell cows, peace be with you!)"
Cartman,"You guys, get me down from here!"
Cartman,Ow! Help! Sons o' bitches! Dildos!
[OTH],"Phew, I'm sure glad that's over with."
[OTH],"Yeah. Boy, am I glad to see you, Ike."
[OTH],"Oh, he fly out the sky."
[OTH],"Wait, where are you going, alien Visitors? Come back!"
[OTH],"Well, Chef, where's this amazing thing you were going to show us."
[OTH],"Well, i- it's in the bedroom, ladies. Come on in."
[OTH],"Come on, Ike, we can make it just in time for dinner."
[OTH],"Thanks for your help, Wendy."
[OTH],"Whatever, dude."
[OTH],"Hey, I didn't throw up."
[OTH],Cool!
[OTH],Bleech!
[OTH],Eww!
[OTH],Sorry.
[OTH],"Hey, look. A French fry."
[OTH],Cool.
[OTH],And what is that?
[OTH],I think it's part of a Cheesy Poof.
[OTH],"Hey, what's that?"
[OTH],"That's uummm... a hamburger from... that's from, like, two days ago."
[OTH],"Oh hey, what about that?"
[OTH],I don't know what the hell that is...
[OTH],"Gee, the bus'll be here any minute, and Cartman still isn't around."
[OTH],"Yeah, we're running out of friends."
[OTH],I wonder what that thing was that the Visitors gave the cows.
[OTH],Mooo.
[OTH],Ha ha cows! I've got you cornered. Let's see you get away now.
[OTH],"I love to sing-a,
About the moon-a and the June-a and the Spring-a,
I love to sing-a,
About a sky of blue-a or a tea for two-a..."
Cartman,Puh!
[OTH],"Oh, hey Cartman."
[OTH],"Wow Cartman, the Visitors dropped you off just in time to go to school."
Cartman,"Ah, man, I had this crazy nightmare last night."
[OTH],"Really, what about?"
Cartman,"Well, I was standing out in a field, and I had this huge satellite dish sticking out of my butt. And then there was... hundreds of cows and aliens, and then I went up on the ship and Scott Baio gave me pinkeye."
[OTH],"That wasn't a dream, Cartman. That really happened."
Cartman,"Oh right, why don't I have pinkeye then?"
[OTH],"Cartman, you do have pinkeye!"
Cartman,"Ahh, son of a bitch!"
[OTH],"School days, school days, teacher's golden ru..."
[OTH],"Ah, damn it! My little brother's trying to follow me to school again."
[OTH],Eat banana.
[OTH],"Ike, you can't come to school with me."
Cartman,"Yeah, go home you little dildo!"
[OTH],"Dude, don't call my brother a dildo!"
[OTH],What's a dildo?
[OTH],"Well, I don't know... and I'll bet Cartman doesn't know either!"
Cartman,I know what it means!
[OTH],"Well, what?"
Cartman,I'm not telling you.
[OTH],"What's a dildo, Kenny?"
[OTH],(It's a plastic dick that goes in a vagina.)
Cartman,"He-yeah, that's what Kyle's little brother is all right! Ow!"
[OTH],"Dude, that kicks ass!"
[OTH],"Yeah, check this one out. Ready Ike? Kick the baby!"
[OTH],Don't kick the baby.
[OTH],Kick the baby.
[OTH],"Whoa, Cartman! Looks like you didn't get much sleep last night."
Cartman,That's 'cause I was having these bogus nightmares.
[OTH],Really? What about?
Cartman,"Well, I dreamt that I was lying in my bed..."
Cartman,"...in the dark, when all of a sudden this bright blue light filled the room."
Cartman,Then slowly my bedroom door began to open...
Cartman,"...and then the next thing I remember, I was being drug through a hallway."
Cartman,Weeaak!
Cartman,Then I was lying on a table...
Cartman,...and these scary aliens wanted to operate on me. And they had big heads and big black eyes.
[OTH],Dude! Visitors!
[OTH],Totally!
Cartman,What?
[OTH],"That wasn't a dream Cartman, those were visitors!"
Cartman,"No, it was just a dream, my mom said so."
[OTH],Visitors are real.
[OTH],"Yeah, they abduct people and they mutilate cows."
Cartman,"Oh, shut up, guys! You're just trying to make me scared. And it's not working."
[OTH],"Hello there, children."
[OTH],"Hey, Chef."
[OTH],"What's gonna be for lunch today, Chef?"
[OTH],"Well, today it's Salisbury steak with buttered noodles and a choice of green bean casserole or vegetable medley."
Cartman,Kick ass.
[OTH],"Say, did any of you children see the alien space ship last night?"
Cartman,Huh?
[OTH],"Yeah, fat boy saw it!"
Cartman,"Eh, no, that, that was just a dream. And I'm not fat, I'm big boned!"
[OTH],"Oh, was it the ones with the big long heads and the black eyes?"
Cartman,Oh!
[OTH],They took him on their ship.
[OTH],Oh! Did they give you an anal probe?
Cartman,Oh!
[OTH],What's an anal probe?
[OTH],That's when they put this big metal hoop-a-joop up yo' butt.
[OTH],Whoa! They gave you an anal probe Cartman?
Cartman,"No! Uh-I mean, eh, why would they do that?"
[OTH],"Dude, they did, huh? Aliens stuck stuff up your ass!"
Cartman,No!
[OTH],Eneh probe.
Cartman,"Shut up, dildo!"
[OTH],"Well, I gotta get to the cafeteria. You children watch that fat boy now. He could be under alien control."
Cartman,Oh!
[OTH],We told you they were real Cartman. Sorry to hear about your ass.
Cartman,"God damn it, they didn't do anything to my ass! It was just a dream!"
[OTH],Why you walkin' so funny Cartman?
Cartman,Shut up!
[OTH],Oh foonuh bebe.
[OTH],"No, Ike, go home."
[OTH],Eeeeee!
[OTH],This is it. This one's for the game.
[OTH],Purplor.
[OTH],Kick the baby!
[OTH],"Good morning, Miss Crabtree."
[OTH],"SIT DOWN! WE""RE RUNNING LATE!"
[OTH],"Damn it, he's still there."
[OTH],"Oh, don't worry about him."
[OTH],"No, dude, if something happens to him, my parents are gonna blame me."
[OTH],SIT DOWN BACK THERE! AAAAAAH!!
[OTH],"Yeah, whatever, ya fat bitch."
[OTH],WHAT DID YOU SAY?
[OTH],I said I have a bad itch.
[OTH],Oh.
[OTH],"Oh, my God!"
[OTH],Visitors!
[OTH],(Oh nooo!)
[OTH],"Ike! STOP THE BUUUUUS! Ms. Crabtree, you have to stop this bus!"
[OTH],"SIT DOWN, KID!"
[OTH],But I have to get off!
[OTH],DO YOU WANT AN OFFICE REFERRAL!?
[OTH],No.
[OTH],Then sit down!
[OTH],But I...
[OTH],Arrgghhh!
[OTH],Arrghh!
[OTH],Arrrggghhh!
[OTH],"Cartman, are those the same Visitors you saw?"
Cartman,"Shut up you guys, it's not working."
[OTH],We have to do something!
[OTH],"Well, we can't do anything for now, that fat bitch won't let us."
[OTH],WHAT DID YOU SAY?!
[OTH],"Uh, I said that rabbits eat lettuce."
[OTH],"Oh. Well, yes, they certainly do."
[OTH],What am I going to do? My little brother's been abducted by aliens. You farted.
Cartman,"Heh, somebody's baking brownies."
[OTH],That's the third cow this month. At this rate all my cattle are gonna die before the winter's through.
[OTH],This is nothing out of the unusual. Cows turn themselves inside out all the time.
[OTH],People been saying they've been seeing UFO's around.
[OTH],UFO's?
[OTH],"Yeah, and black army CIA helicopters and trucks."
[OTH],That is the silliest thing I've ever heard.
[OTH],What was that?
[OTH],"That, that was a pigeon."
[OTH],"What am I supposed to do, Barbrady? Just stand here and watch my cattle get mutilated one by one?"
[OTH],Hey! My cattle!
[OTH],You see? There is somethin' funny goin' on!
[OTH],There's nothing funny going on. I'll get those cows back.
[OTH],"And now children, our friend, Mr. Hat, is going to tell us about Christopher Columbus."
[OTH],"That's right, Mr. Garrison. Christopher Columbus discovered America and was the Indians' best friend. He helped the Indians win their war against Fredrick Douglass and a freed the Hebrews from Napoleon and discovered France. And then in 1492, Columbus started a restaurant..."
[OTH],"Oh, man. I can't just sit here, I have to help my stupid brother, or I'll come home without him and my dad will start yelling, ""Where's your brother, Kyle?"" ""You weren't looking out for your little brother, Kyle?"""
[OTH],"Okay, okay, let's ditch school and go find him."
[OTH],"""You know he can't think on his own, Kyle!"" ""Brush and floss, Kyle!"" ""Where has that finger been, Kyle?"""
[OTH],Dude!
[OTH],"Is there a problem, boys?"
[OTH],"Yes, Mr. Garrison, I have to go now."
[OTH],"Oh, really, Kyle? What is it this time? Another prostate tumor?"
[OTH],"No, my little brother's been abducted by aliens. It's true! Ask Cartman, they gave him an anal probe."
Cartman,"Heh, heh, that's a, that's, that's a little joke. Heh, heh."
[OTH],"Mr. Garrison, seriously, I have to go. Can I please be excused from class?"
[OTH],"I don't know, Kyle. Did you ask Mr. Hat?"
[OTH],"I don't want to ask Mr. Hat, I'm asking you!"
[OTH],Oh I think you should ask Mr. Hat.
[OTH],"Mr. Hat, may I please be excused from class?"
[OTH],"Well, Kyle, NO!! You hear me?! You go to hell! You go to hell and you die!"
[OTH],"Hmm, guess you'll have to take your seat, Kyle."
[OTH],Damn it!
Cartman,"Hah, hah. Mr. Hat yelled at you."
Cartman,Ow! My ass!
[OTH],Dude!
[OTH],"Damn, Cartman!"
Cartman,Uh... Ow! My ass!
[OTH],"Dude, he's farting fire!"
[OTH],It's the alien anal probe. It's shooting fire from Cartman's rectum!
Cartman,"No, that was just a dream."
[OTH],"Eric, do you need to sit in the corner until your flaming gas is under control?"
Cartman,"No, Mr. Garrison, I'm fine."
[OTH],"Hey, you cows can't get on this train! This is a people train. You cows have no business on a people train, all right? 'Cause you're cows."
[OTH],"No, no, no. Don't try any of that cow hypnosis on me, all right? 'Cause it's not gonna work."
[OTH],"Hold it right there, cows!"
[OTH],Come back here! Now then!
[OTH],"So then I had bad, bad gas."
[OTH],"Ya, seriously, killer."
Cartman,"Oh!! Whoa, I sure am hungry."
[OTH],How can you eat when you're farting fire?
Cartman,"Shut up, dude, you're being totally immature."
[OTH],"Hey, look, there's Wendy Testaburger."
[OTH],Where?
Cartman,Stan wants to ki-iss Wendy Testabur-ger.
[OTH],"Shut up, fat ass! I don't even like her!"
Cartman,I'm not fat. And you obviously like her because you throw up every time she talks to you.
[OTH],I do not!
[OTH],"Hi, guys."
Cartman,"Hi, Wendy."
[OTH],"Here, Stan. This is for you."
[OTH],Bleech!
[OTH],Eww!
Cartman,"Bye, Wendy."
[OTH],"Dude, what does the note say?"
[OTH],Holy crap! It says she wants to meet me at Stark's Pond after school.
[OTH],Whoa! Maybe you can kiss her.
Cartman,Or slip her the tongue.
[OTH],"(Or look at the cat on her feet, then touch her.)"
[OTH],What? How do you know she has a cat?
[OTH],"Come on you guys, we need to figure out how to get out of school so we can get my little brother back."
[OTH],"Hello there, children."
[OTH],"Hey, Chef."
[OTH],How are you doing?
[OTH],Bad.
[OTH],Why bad?
[OTH],"Chef, have you ever had something happen to you, but nobody believed you?"
[OTH],"Oh, children, children, that's a problem we've all had to face at some time or another. Here, let me sing you a little song. It might clear things up.

I'm gonna make love to you woman
Gonna lay you down by the fire
And caress your womanly body
Make you moooooan and perspi-yah!
Gonna--"
[OTH],"Uh, Chef?"
[OTH],--get those juices flowin'--
[OTH],Chef.
[OTH],--we're makin' love gravy--
[OTH],Chef!
[OTH],"--love gravy, lovelovelovelovelove gravih!"
[OTH],CHEF!!!
[OTH],"Love luh--

 Huh?"
[OTH],Do you feel better?
[OTH],No!
[OTH],"Oh, come on children, what could be so bad? It's Salisbury steak day."
[OTH],Visitors took Kyle's baby brother.
[OTH],What?!
